"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "comment", "blank", "total"
"d:\zxy\project\mern-stack-project\frontend\firebase.json", "JSON", 0, 7, 0, 0, 10, 0, 17
"d:\zxy\project\mern-stack-project\frontend\package-lock.json", "JSON", 0, 27855, 0, 0, 0, 1, 27856
"d:\zxy\project\mern-stack-project\frontend\package.json", "JSON", 0, 33, 0, 0, 0, 1, 34
"d:\zxy\project\mern-stack-project\frontend\public\index.html", "HTML", 0, 0, 0, 28, 23, 1, 52
"d:\zxy\project\mern-stack-project\frontend\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 1, 26
"d:\zxy\project\mern-stack-project\frontend\src\App.js", "JavaScript", 81, 0, 0, 0, 0, 7, 88
"d:\zxy\project\mern-stack-project\frontend\src\index.css", "CSS", 0, 0, 34, 0, 0, 8, 42
"d:\zxy\project\mern-stack-project\frontend\src\index.js", "JavaScript", 5, 0, 0, 0, 0, 3, 8
"d:\zxy\project\mern-stack-project\frontend\src\places\components\PlaceItem.css", "CSS", 0, 0, 49, 0, 0, 11, 60
"d:\zxy\project\mern-stack-project\frontend\src\places\components\PlaceItem.js", "JavaScript", 103, 0, 0, 0, 0, 11, 114
"d:\zxy\project\mern-stack-project\frontend\src\places\components\PlaceList.css", "CSS", 0, 0, 7, 0, 0, 1, 8
"d:\zxy\project\mern-stack-project\frontend\src\places\components\PlaceList.js", "JavaScript", 35, 0, 0, 0, 0, 5, 40
"d:\zxy\project\mern-stack-project\frontend\src\places\pages\NewPlace.js", "JavaScript", 97, 0, 0, 0, 0, 7, 104
"d:\zxy\project\mern-stack-project\frontend\src\places\pages\PlaceForm.css", "CSS", 0, 0, 10, 0, 0, 1, 11
"d:\zxy\project\mern-stack-project\frontend\src\places\pages\UpdatePlace.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"d:\zxy\project\mern-stack-project\frontend\src\places\pages\UpdatePlace.js", "JavaScript", 127, 0, 0, 0, 0, 10, 137
"d:\zxy\project\mern-stack-project\frontend\src\places\pages\UserPlaces.js", "JavaScript", 41, 0, 0, 0, 0, 8, 49
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\FormElements\Button.css", "CSS", 0, 0, 52, 0, 0, 9, 61
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\FormElements\Button.js", "JavaScript", 40, 0, 0, 0, 0, 4, 44
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\FormElements\ImageUpload.css", "CSS", 0, 0, 21, 0, 0, 2, 23
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\FormElements\ImageUpload.js", "JavaScript", 57, 0, 0, 0, 0, 9, 66
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\FormElements\Input.css", "CSS", 0, 0, 35, 0, 0, 6, 41
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\FormElements\Input.js", "JavaScript", 76, 0, 0, 0, 0, 11, 87
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\Navigation\MainHeader.css", "CSS", 0, 0, 21, 0, 0, 2, 23
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\Navigation\MainHeader.js", "JavaScript", 6, 0, 0, 0, 0, 4, 10
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\Navigation\MainNavigation.css", "CSS", 0, 0, 38, 0, 0, 7, 45
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\Navigation\MainNavigation.js", "JavaScript", 40, 0, 0, 0, 0, 7, 47
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\Navigation\NavLinks.css", "CSS", 0, 0, 70, 0, 0, 12, 82
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\Navigation\NavLinks.js", "JavaScript", 37, 0, 0, 0, 0, 5, 42
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\Navigation\SideDrawer.css", "CSS", 0, 0, 10, 0, 0, 1, 11
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\Navigation\SideDrawer.js", "JavaScript", 19, 0, 0, 0, 0, 5, 24
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\Avatar.css", "CSS", 0, 0, 14, 0, 0, 1, 15
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\Avatar.js", "JavaScript", 14, 0, 0, 0, 0, 4, 18
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\Backdrop.css", "CSS", 0, 0, 9, 0, 0, 1, 10
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\Backdrop.js", "JavaScript", 10, 0, 0, 0, 0, 4, 14
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\Card.css", "CSS", 0, 0, 9, 0, 0, 1, 10
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\Card.js", "JavaScript", 10, 0, 0, 0, 0, 4, 14
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\ErrorModal.js", "JavaScript", 16, 0, 0, 0, 0, 4, 20
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\LoadingSpinner.css", "CSS", 0, 0, 35, 0, 0, 4, 39
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\LoadingSpinner.js", "JavaScript", 10, 0, 0, 0, 0, 4, 14
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\Map.css", "CSS", 0, 0, 4, 0, 0, 0, 4
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\Map.js", "JavaScript", 21, 0, 0, 0, 0, 8, 29
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\Modal.css", "CSS", 0, 0, 49, 0, 0, 10, 59
"d:\zxy\project\mern-stack-project\frontend\src\shared\components\UIElements\Modal.js", "JavaScript", 44, 0, 0, 0, 0, 5, 49
"d:\zxy\project\mern-stack-project\frontend\src\shared\context\auth-context.js", "JavaScript", 8, 0, 0, 0, 0, 2, 10
"d:\zxy\project\mern-stack-project\frontend\src\shared\hooks\auth-hook.js", "JavaScript", 51, 0, 0, 0, 0, 7, 58
"d:\zxy\project\mern-stack-project\frontend\src\shared\hooks\form-hook.js", "JavaScript", 54, 0, 0, 0, 0, 6, 60
"d:\zxy\project\mern-stack-project\frontend\src\shared\hooks\http-hook.js", "JavaScript", 44, 0, 0, 0, 0, 12, 56
"d:\zxy\project\mern-stack-project\frontend\src\shared\util\validators.js", "JavaScript", 44, 0, 0, 0, 0, 3, 47
"d:\zxy\project\mern-stack-project\frontend\src\users\components\UserItem.css", "CSS", 0, 0, 42, 0, 0, 7, 49
"d:\zxy\project\mern-stack-project\frontend\src\users\components\UserItem.js", "JavaScript", 25, 0, 0, 0, 0, 4, 29
"d:\zxy\project\mern-stack-project\frontend\src\users\components\UsersList.css", "CSS", 0, 0, 10, 0, 0, 0, 10
"d:\zxy\project\mern-stack-project\frontend\src\users\components\UsersList.js", "JavaScript", 29, 0, 0, 0, 0, 5, 34
"d:\zxy\project\mern-stack-project\frontend\src\users\pages\Auth.css", "CSS", 0, 0, 13, 0, 0, 2, 15
"d:\zxy\project\mern-stack-project\frontend\src\users\pages\Auth.js", "JavaScript", 151, 0, 0, 0, 0, 10, 161
"d:\zxy\project\mern-stack-project\frontend\src\users\pages\Users.js", "JavaScript", 31, 0, 0, 0, 0, 7, 38
"Total", "-", 1326, 27920, 532, 28, 33, 276, 30115
